Country,Location,FEA
Bosnia,Easteu,68
Bulgaria,Easteu,81
Croatia,Easteu,79
Czech Rep.,Easteu,74
Estonia,Easteu,80
Hungary,Easteu,82
Latvia,Easteu,81
Lithuania,Easteu,83
Moldova,Easteu,87
Poland,Easteu,75
Romania,Easteu,80
Serbia,Easteu,75
Slovakia,Easteu,75
Slovenia,Easteu,79
Ukraine,Easteu,67
Egypt,MiddleEast,29
Iran,MiddleEast,42
Iraq,MiddleEast,19
Israel,MiddleEast,81
Jordan,MiddleEast,39
Saudi Arabia,MiddleEast,4
Syria,MiddleEast,38
Turkey,MiddleEast,34
UAE,MiddleEast,49
Yemen,MiddleEast,40
